en,ja
pull request,プルリクエスト
diff,差分
patch,パッチ
repository,リポジトリ
branch,ブランチ
commit,コミット
issue,Issue
token,トークン
parameter,パラメータ
schema,スキーマ
prompt,プロンプト
system prompt,システムプロンプト
tool,ツール
workflow,ワークフロー
